file_path,label,duration,augmented,split
train/Blue-tailed_bee-eater/aug_1_XC937371.wav,Blue-tailed_bee-eater,5,TRUE,train
train/Indian_pond_heron/aug_38_XC960072.wav,Indian_pond_heron,5,TRUE,train
train/White_Ibis/aug_10_XC707580.wav,White_Ibis,5,TRUE,train
train/background/silence_Rosy_starling_XC747747_0.wav,background,5,FALSE,train
train/Little_egret/aug_11_XC893004.wav,Little_egret,5,TRUE,train
train/Great_egret/aug_5_XC843754.wav,Great_egret,5,TRUE,train
train/Glossy_ibis/aug_3_XC789670.wav,Glossy_ibis,5,TRUE,train
train/Asian_openbill_stork/aug_39_XC369048 - Asian Openbill - Anastomus oscitans.wav,Asian_openbill_stork,5,TRUE,train
train/Northern_shoveler/aug_2_XC712354.wav,Northern_shoveler,5,TRUE,train
train/Asian_openbill_stork/aug_55_XC194954 - Asian Openbill - Anastomus oscitans.wav,Asian_openbill_stork,5,TRUE,train
train/Glossy_ibis/aug_16_XC789670.wav,Glossy_ibis,5,TRUE,train
train/Garganey/aug_11_XC881825.wav,Garganey,5,TRUE,train
train/Blue-tailed_bee-eater/aug_2_XC741385.wav,Blue-tailed_bee-eater,5,TRUE,train
train/Little_egret/XC948648.wav,Little_egret,5,FALSE,train
train/background/silence_Golden_oriole_XC959335_2.wav,background,5,FALSE,train
train/Golden_oriole/aug_10_XC523042.wav,Golden_oriole,5,TRUE,train
train/White_Ibis/aug_11_XC816336.wav,White_Ibis,5,TRUE,train
train/White-throated_kingfisher/aug_4_XC845719.wav,White-throated_kingfisher,5,TRUE,train
train/Common_kingfisher/XC938406.wav,Common_kingfisher,5,FALSE,train
train/Common_kingfisher/XC983064.wav,Common_kingfisher,5,FALSE,train
train/Rosy_starling/aug_8_XC685681.wav,Rosy_starling,5,TRUE,train
train/Grey_Heron/aug_7_XC882189.wav,Grey_Heron,5,TRUE,train
train/Northern_shoveler/aug_4_XC897914.wav,Northern_shoveler,5,TRUE,train
train/Rosy_starling/aug_12_XC813573.wav,Rosy_starling,5,TRUE,train
train/background/mixed_Fulvous_whistling_duck_brown_noise_11.wav,background,5,FALSE,train
train/Glossy_ibis/aug_14_XC934384.wav,Glossy_ibis,5,TRUE,train
train/Spot-billed_pelican/aug_97_XC769895 - Spot-billed Pelican - Pelecanus philippensis.wav,Spot-billed_pelican,5,TRUE,train
train/White-throated_kingfisher/aug_16_XC897996.wav,White-throated_kingfisher,5,TRUE,train
train/Common_kingfisher/aug_6_XC941429.wav,Common_kingfisher,5,TRUE,train
train/Great_egret/aug_10_XC765537.wav,Great_egret,5,TRUE,train
train/Garganey/aug_1_XC792064.wav,Garganey,5,TRUE,train
train/Asian_openbill_stork/aug_50_XC194954 - Asian Openbill - Anastomus oscitans.wav,Asian_openbill_stork,5,TRUE,train
train/Painted_stork/aug_26_XC460217.wav,Painted_stork,5,TRUE,train
train/Spotted_owlet/aug_10_XC740456.wav,Spotted_owlet,5,TRUE,train
train/Asian_openbill_stork/aug_14_XC369048 - Asian Openbill - Anastomus oscitans.wav,Asian_openbill_stork,5,TRUE,train
train/Indian_spot-billed_duck/aug_117_XC580931.wav,Indian_spot-billed_duck,5,TRUE,train
train/Northern_pintail/aug_8_XC981846.wav,Northern_pintail,5,TRUE,train
train/Spotted_owlet/XC787693.wav,Spotted_owlet,5,FALSE,train
train/Asian_openbill_stork/aug_92_XC194954 - Asian Openbill - Anastomus oscitans.wav,Asian_openbill_stork,5,TRUE,train
train/Indian_pond_heron/aug_50_XC960076.wav,Indian_pond_heron,5,TRUE,train
train/Northern_shoveler/aug_13_XC706884.wav,Northern_shoveler,5,TRUE,train
train/White_Ibis/aug_6_XC710604.wav,White_Ibis,5,TRUE,train
train/Asian_openbill_stork/aug_45_XC369048 - Asian Openbill - Anastomus oscitans.wav,Asian_openbill_stork,5,TRUE,train
train/Golden_oriole/aug_0_XC615687.wav,Golden_oriole,5,TRUE,train
train/Great_egret/aug_2_XC982464.wav,Great_egret,5,TRUE,train
train/Common_kingfisher/aug_5_XC980168.wav,Common_kingfisher,5,TRUE,train
train/Painted_stork/aug_27_XC547488.wav,Painted_stork,5,TRUE,train
train/White_Ibis/aug_7_XC816336.wav,White_Ibis,5,TRUE,train
train/Great_egret/aug_3_XC765536.wav,Great_egret,5,TRUE,train
train/Golden_oriole/aug_5_XC33830.wav,Golden_oriole,5,TRUE,train
