path,category,eco_label,fold,split
data/ESC-50/audio_16k/1-100038-A-14.wav,chirping_birds,bird,1,train
data/ESC-50/audio_16k/1-101296-A-19.wav,thunderstorm,nature,1,train
data/ESC-50/audio_16k/1-101296-B-19.wav,thunderstorm,nature,1,train
data/ESC-50/audio_16k/1-103298-A-9.wav,crow,bird,1,train
data/ESC-50/audio_16k/1-104089-A-22.wav,clapping,human,1,train
data/ESC-50/audio_16k/1-104089-B-22.wav,clapping,human,1,train
data/ESC-50/audio_16k/1-105224-A-22.wav,clapping,human,1,train
data/ESC-50/audio_16k/1-110537-A-22.wav,clapping,human,1,train
data/ESC-50/audio_16k/1-115521-A-19.wav,thunderstorm,nature,1,train
data/ESC-50/audio_16k/1-115920-A-22.wav,clapping,human,1,train
data/ESC-50/audio_16k/1-115920-B-22.wav,clapping,human,1,train
data/ESC-50/audio_16k/1-115921-A-22.wav,clapping,human,1,train
data/ESC-50/audio_16k/1-116765-A-41.wav,chainsaw,motor,1,train
data/ESC-50/audio_16k/1-119125-A-45.wav,train,motor,1,train
data/ESC-50/audio_16k/1-137296-A-16.wav,wind,nature,1,train
data/ESC-50/audio_16k/1-172649-A-40.wav,helicopter,motor,1,train
data/ESC-50/audio_16k/1-172649-B-40.wav,helicopter,motor,1,train
data/ESC-50/audio_16k/1-172649-C-40.wav,helicopter,motor,1,train
data/ESC-50/audio_16k/1-172649-D-40.wav,helicopter,motor,1,train
data/ESC-50/audio_16k/1-172649-E-40.wav,helicopter,motor,1,train
data/ESC-50/audio_16k/1-172649-F-40.wav,helicopter,motor,1,train
data/ESC-50/audio_16k/1-17367-A-10.wav,rain,nature,1,train
data/ESC-50/audio_16k/1-17585-A-7.wav,insects,nature,1,train
data/ESC-50/audio_16k/1-1791-A-26.wav,laughing,human,1,train
data/ESC-50/audio_16k/1-18074-A-6.wav,hen,bird,1,train
data/ESC-50/audio_16k/1-18074-B-6.wav,hen,bird,1,train
data/ESC-50/audio_16k/1-181071-A-40.wav,helicopter,motor,1,train
data/ESC-50/audio_16k/1-181071-B-40.wav,helicopter,motor,1,train
data/ESC-50/audio_16k/1-18527-A-44.wav,engine,motor,1,train
data/ESC-50/audio_16k/1-18527-B-44.wav,engine,motor,1,train
data/ESC-50/audio_16k/1-18631-A-23.wav,breathing,human,1,train
data/ESC-50/audio_16k/1-187207-A-20.wav,crying_baby,human,1,train
data/ESC-50/audio_16k/1-19111-A-24.wav,coughing,human,1,train
data/ESC-50/audio_16k/1-19118-A-24.wav,coughing,human,1,train
data/ESC-50/audio_16k/1-19501-A-7.wav,insects,nature,1,train
data/ESC-50/audio_16k/1-19898-A-41.wav,chainsaw,motor,1,train
data/ESC-50/audio_16k/1-19898-B-41.wav,chainsaw,motor,1,train
data/ESC-50/audio_16k/1-19898-C-41.wav,chainsaw,motor,1,train
data/ESC-50/audio_16k/1-211527-A-20.wav,crying_baby,human,1,train
data/ESC-50/audio_16k/1-211527-B-20.wav,crying_baby,human,1,train
data/ESC-50/audio_16k/1-211527-C-20.wav,crying_baby,human,1,train
data/ESC-50/audio_16k/1-21189-A-10.wav,rain,nature,1,train
data/ESC-50/audio_16k/1-22694-A-20.wav,crying_baby,human,1,train
data/ESC-50/audio_16k/1-22694-B-20.wav,crying_baby,human,1,train
data/ESC-50/audio_16k/1-22882-A-44.wav,engine,motor,1,train
data/ESC-50/audio_16k/1-23222-A-19.wav,thunderstorm,nature,1,train
data/ESC-50/audio_16k/1-23222-B-19.wav,thunderstorm,nature,1,train
data/ESC-50/audio_16k/1-24524-A-19.wav,thunderstorm,nature,1,train
data/ESC-50/audio_16k/1-24524-B-19.wav,thunderstorm,nature,1,train
data/ESC-50/audio_16k/1-24524-C-19.wav,thunderstorm,nature,1,train
data/ESC-50/audio_16k/1-26143-A-21.wav,sneezing,human,1,train
data/ESC-50/audio_16k/1-26222-A-10.wav,rain,nature,1,train
data/ESC-50/audio_16k/1-26806-A-1.wav,rooster,bird,1,train
data/ESC-50/audio_16k/1-27724-A-1.wav,rooster,bird,1,train
data/ESC-50/audio_16k/1-28135-A-11.wav,sea_waves,nature,1,train
data/ESC-50/audio_16k/1-28135-B-11.wav,sea_waves,nature,1,train
data/ESC-50/audio_16k/1-29532-A-16.wav,wind,nature,1,train
data/ESC-50/audio_16k/1-29561-A-10.wav,rain,nature,1,train
data/ESC-50/audio_16k/1-29680-A-21.wav,sneezing,human,1,train
data/ESC-50/audio_16k/1-30039-A-26.wav,laughing,human,1,train
data/ESC-50/audio_16k/1-30043-A-26.wav,laughing,human,1,train
data/ESC-50/audio_16k/1-30709-A-23.wav,breathing,human,1,train
data/ESC-50/audio_16k/1-30709-B-23.wav,breathing,human,1,train
data/ESC-50/audio_16k/1-30709-C-23.wav,breathing,human,1,train
data/ESC-50/audio_16k/1-30830-A-24.wav,coughing,human,1,train
data/ESC-50/audio_16k/1-31251-A-6.wav,hen,bird,1,train
data/ESC-50/audio_16k/1-31251-B-6.wav,hen,bird,1,train
data/ESC-50/audio_16k/1-31482-A-42.wav,siren,motor,1,train
data/ESC-50/audio_16k/1-31482-B-42.wav,siren,motor,1,train
