path,category,eco_label,fold,split,soft_bird,soft_human,soft_motor,soft_nature
data/ESC-50/audio_16k/1-100038-A-14.wav,chirping_birds,bird,1,train,0.86525565,0.047451627,0.06341881,0.023873834
data/ESC-50/audio_16k/1-101296-A-19.wav,thunderstorm,nature,1,train,0.03687397,0.036037475,0.20255151,0.724537
data/ESC-50/audio_16k/1-101296-B-19.wav,thunderstorm,nature,1,train,0.035061833,0.049727585,0.1362972,0.7789134
data/ESC-50/audio_16k/1-103298-A-9.wav,crow,bird,1,train,0.88740855,0.025009982,0.025582444,0.06199907
data/ESC-50/audio_16k/1-104089-A-22.wav,clapping,human,1,train,3.800661e-05,0.99958605,0.00018037425,0.00019556945
data/ESC-50/audio_16k/1-104089-B-22.wav,clapping,human,1,train,0.000119919234,0.9994972,6.520322e-05,0.00031765585
data/ESC-50/audio_16k/1-105224-A-22.wav,clapping,human,1,train,0.00024169762,0.98782915,0.010591864,0.0013372889
data/ESC-50/audio_16k/1-110537-A-22.wav,clapping,human,1,train,6.154446e-05,0.11719217,0.15753788,0.7252084
data/ESC-50/audio_16k/1-115521-A-19.wav,thunderstorm,nature,1,train,0.003909638,0.012369668,0.016634034,0.9670867
data/ESC-50/audio_16k/1-115920-A-22.wav,clapping,human,1,train,7.5490694e-05,0.99986094,1.5982441e-05,4.7464036e-05
data/ESC-50/audio_16k/1-115920-B-22.wav,clapping,human,1,train,9.0850306e-05,0.99829227,0.00020587242,0.001410965
data/ESC-50/audio_16k/1-115921-A-22.wav,clapping,human,1,train,9.6860495e-05,0.9973215,0.0009411038,0.0016405379
data/ESC-50/audio_16k/1-116765-A-41.wav,chainsaw,motor,1,train,7.773822e-05,0.02032434,0.8068174,0.1727805
data/ESC-50/audio_16k/1-119125-A-45.wav,train,motor,1,train,0.0005097458,0.0030838589,0.97179157,0.02461483
data/ESC-50/audio_16k/1-137296-A-16.wav,wind,nature,1,train,0.00044643227,0.0076659364,0.15091357,0.84097403
data/ESC-50/audio_16k/1-172649-A-40.wav,helicopter,motor,1,train,0.0005779784,0.04010141,0.9529155,0.006405157
